"coordinates","name","start_methods","Nid","beds","bicycle","camping","distancetogrocery","freq","fueltypes","anchorpoints","dates","waterstation","mobile","oxygen","runway","sleepinworkshop","parkinhangar"
"52.2692, 20.9069","EPBC","w, app, s","658","No","No","Yes","1 km","122.30MHz","Avgas","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20140930T215959Z;WKST=MO","Yes","+48606984673","No","grass, concrete / asphalt","No","For one 15m glider in most cases"
"53.1014, 23","EPBK Białystok/Krywlany","w, app","198","No","No","Yes","2 km","122.20MHz","","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;COUNT=1;WKST=MO","Yes","+48 502 290 403","No","grass","No","For one 15m glider in most cases"
"50.8969, 20.7317","EPKA","app","193","No","No","Yes","at the airport","122.20MHz","Avgas","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20131031T225959Z;WKST=MO","Yes","531-190-553","No","grass, concrete / asphalt","Yes","For two 15m gliders or one 20m glider in most cases"
"54.1297, 17.8453","EPKO Korne","w, app, s","194","Yes","No","Yes","> 3 km","121.18MHz","Avgas","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20131101T225959Z;WKST=MO","Yes","+48 603 541 030","No","grass","Yes","For more or larger gliders than mentioned above in most cases"
"50.6275, 21.9981","EPST - TURBIA Stalowa Wola","w, app, s","196","In most cases yes","No","Yes","1 km","122.20MHz","","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20130930T215959Z;WKST=MO","Yes","0048601647245","No","grass","No","For two 15m gliders or one 20m glider in most cases"
"59.3819, 16.448","Eskilstuna Ekeby flygfaelt ESSC","app, s","161","In most cases yes","No","Yes","2 km","123.20MHz","Avgas","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20130929T215959Z;WKST=MO","Yes","+46 (0) 16 513489","No","grass","No","For one 15m glider in most cases"
"49.5626, 7.58041","Essweiler","w, s","248","No","No","Yes","3 km","129.98MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SU;COUNT=1000;WKST=MO","No","004963041781","No","grass","Yes","Can be arranged, if requested in advance"
"63.0389, 14.0017","ESUO Oviken Airport","app, s","759","In most cases yes","No","Yes","> 3 km","123.15MHz","","Yes","","No","0046702886419","No","grass","Yes","Can be arranged, if requested in advance"
"47.756, 18.7295","Esztergom Hungary LHEM","w, app","109","Yes","Yes","Yes","1 km","126.85MHz","","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20131031T225959Z;WKST=MO","No","+36309561255","No","grass","No","For one 15m glider in most cases"
"47.4897, 18.9103","Farkashegy LHFH","w, a699, s","173","In most cases yes","No","Yes","1 km","125.60MHz","Avgas","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141222T225959Z;WKST=MO","Yes","+36709774073","No","grass","No","For two 15m gliders or one 20m glider in most cases"
"48.3861, 9.07667","Farrenberg","w, app, s","736","No","No","No","> 3 km","123.48MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141101T225959Z;WKST=MO","No","004915156132264","No","grass","No","No"
"43.6081, 6.70167","Fayence-Tourrettes","app, s","189","Yes","No","Yes","1 km","119.05MHz","Avgas","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20161031T225959Z;WKST=MO","Yes","+33 (6) 08 10 02 53","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"51.6684, 13.9649","FC Bronkow","w, amg, app, s","765","In most cases yes","No","Yes","> 3 km","130.33MHz","Avgas, Avgas-Mogas-Mix, Super Plus (Mogas)","No","","No","004935434241","No","grass","No","No"
"46.7014, 14.0683","Feldkirchen Ossiachersee","amg, app, s","99","No","Yes","Yes","1 km","122.70MHz","Avgas, Super Plus (Mogas), JetA1","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20130831T215959Z;WKST=MO","Yes","0043 664 8910281","No","grass","No","For more or larger gliders than mentioned above in most cases"
"46.7014, 14.0683","Feldkirchen Ossiachersee","amg, app, s","675","No","Yes","Yes","1 km","122.70MHz","Avgas, Super Plus (Mogas), JetA1","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140831T215959Z;WKST=MO","Yes","0043 664 8910281","No","grass","No","For more or larger gliders than mentioned above in most cases"
"50.7124, 8.07815","Flughafen Siegerland","w, app","811","No","No","Yes","> 3 km","120.38MHz","Avgas, JetA1","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20191027T225959Z;WKST=MO
EXDATE:20150529T220000Z,20150530T220000Z","No","01713692376","No","grass","No","Can be arranged, if requested in advance"
"47.5172, 12.4358","Flugplatz StJohann in Tirol [loij]","amg, app, s","215","No","Yes","No","3 km","120.35MHz","Avgas, Avgas-Mogas-Mix, Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20141231T225959Z;WKST=MO","Yes","+43 5352 62502","No","concrete / asphalt","No","For one 15m glider in most cases"
"50.705, 12.4658","Flugplatz Zwickau EDBI","app, s","191","Yes","No","Yes","1 km","122.90MHz","Avgas, Super Plus (Mogas), JetA1","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20191031T225959Z;WKST=MO","Yes","0049172 / 3713643","No","grass","No","Can be arranged, if requested in advance"
"48.0228, 7.8325","Freiburg im Breisgau EDTF","a499, app, s","184","No","Yes","Yes","1 km","118.25MHz","Avgas, JetA1","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20131231T225959Z;WKST=MO
EXDATE:20131223T230000Z,20131224T230000Z,20131225T230000Z","Yes","00491629426414","No","grass, concrete / asphalt","Yes","For one 15m glider in most cases"
"47.5089, 7.95","Fricktal-Schupfart LSZI","w, app, s","123","Yes","No","Yes","2 km","119.55MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20151011T215959Z;WKST=MO","Yes","+41 79 ??? ?? ??","No","grass","No","No"
"46.9186, 14.4333","Friesach Hirt","a699, amg, app, s","207","No","Yes","Yes","3 km","122.08MHz","Avgas, Super unleaded, JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20131001T215959Z;WKST=MO","Yes","0043 664 4506777","No","grass","No","For one 15m glider in most cases"
"40.8875, -4.23833","Fuentemilanos Airfield","app","626","Yes","No","Yes","at the airport","123.40MHz","Avgas","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;COUNT=1000;WKST=MO","Yes","0034689444243","Yes","grass, concrete / asphalt","No","For more or larger gliders than mentioned above in most cases"
"47.5833, 10.6958","Fuessen","w, a499, app, s","67","No","No","No","2 km","123.35MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151004T215959Z;WKST=MO","No","+49 170 9033589","No","grass","No","No"
"47.993, 10.8442","Geratshof","w, amg, s","69","Yes","No","Yes","2 km","123.50MHz","Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20150913T215959Z;WKST=MO","Yes","0049 -171-7746024","No","grass","No","For three 15m gliders or two 20m gliders in most cases"
"49.6481, 9.96639","Giebelstadt EDQG","w, s","825","No","No","Yes","2 km","122.50MHz","Avgas, JetA1","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150816T215959Z;WKST=MO","No","004916096600820","No","grass, concrete / asphalt","Yes","For one 15m glider in most cases"
"49.6481, 9.96639","Giebelstadt EDQG","w, s","826","No","No","Yes","2 km","122.50MHz","Avgas, JetA1","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150816T215959Z;WKST=MO","No","004916096600820","No","grass, concrete / asphalt","Yes","For one 15m glider in most cases"
"48.6364, 10.2258","Giengen/Brenz EDNG","app, s","780","No","No","Yes","1 km","122.35MHz","Avgas, Super Plus (Mogas)","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20191231T225959Z;WKST=MO","Yes","0049 162  6155050","No","concrete / asphalt","No","Can be arranged, if requested in advance"
"51.159, 14.9507","Goerlitz","w","804","In most cases yes","No","Yes","1 km","122.00MHz","Super unleaded","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20190930T215959Z;WKST=MO","Yes","+49 (0) 1723449593 ","No","grass","No","No"
"51.159, 14.9507","Goerlitz","app","805","In most cases yes","No","Yes","1 km","122.00MHz","Super unleaded","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20190930T215959Z;WKST=MO","Yes","+49 (0) 1723449593 ","No","grass","No","No"
"51.1599, 14.9494","Goerlitz EDBX","w, app, s","38","Yes","Yes","Yes","1 km","122.00MHz","","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131026T215959Z;WKST=MO
RDATE:20130430T220000Z,20130508T220000Z,20130712T220000Z,20130713T220000Z,20130714T220000Z,20130715T220000Z,20130716T220000Z,20130717T220000Z,20130718T220000Z","Yes","+49 152 33904405","No","grass","No","For one 15m glider in most cases"
"51.9053, 10.4594","Goslar","w","822","Yes","Yes","No","2 km","123.48MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;COUNT=14;WKST=MO","Yes","004915140000747","No","grass","Yes","For two 15m gliders or one 20m glider in most cases"
"51.9053, 10.4594","Goslar Bollrich","w","33","No","No","Yes","2 km","123.48MHz","Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=28;WKST=MO","No","00491608881556 bzw. 00491755436317","No","grass","No","For two 15m gliders or one 20m glider in most cases"
"48.5369, 9.4375","Grabenstetten","w, s","134","No","No","Yes","1 km","130.13MHz","Avgas-Mogas-Mix, Two stroke engine oil","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141026T225959Z;WKST=MO
EXDATE:20140801T220000Z,20140802T220000Z
RDATE:20140430T220000Z,20140528T220000Z,20140618T220000Z,20141002T220000Z","Yes","07382820","No","grass","Yes","Can be arranged, if requested in advance"
"46.9933, 15.44","Graz LOWG","a499, amg, app, s","93","No","Yes","Yes","at the airport","118.20MHz","Avgas, Avgas-Mogas-Mix, Super Plus (Mogas), JetA1, Two stroke engine oil","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=TH,FR,SA,SU;UNTIL=20161026T215959Z;WKST=MO","Yes","+436643441754","No","grass","No","Can be arranged, if requested in advance"
"51.3341, 6.35975","Grefrath Niershorst EDLF","w, app, s","226","No","No","Yes","1 km","123.63MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151031T225959Z;WKST=MO","Yes","+49 1722011201","No","grass","Yes","No"
"47.1817, 7.41667","Grenchen LSZG","a699, app","45","In most cases yes","No","No","1 km","127.58MHz","Avgas, JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141026T225959Z;WKST=MO
EXDATE:20140419T220000Z,20140607T220000Z
RDATE:20140720T220000Z,20140721T220000Z,20140722T220000Z,20140723T220000Z,20140724T220000Z,20140727T220000Z,20140728T220000Z,20140729T220000Z,20140730T220000Z,20140731T220000Z","No","0041792035634","No","grass, concrete / asphalt","Yes","For one 15m glider in most cases"
"45.2189, 5.84972","Grenoble Le versoud","app, s","182","No","No","No","3 km","121.00MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=TU,WE,TH,FR,SA,SU;COUNT=2;WKST=MO","Yes","0033662128180","No","grass","No","No"
"51.309, 13.5497","Großenhain","a499, s","136","No","No","Yes","2 km","122.70MHz","Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20190929T215959Z;WKST=MO","No","00491721526060","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"53.5242, 18.8492","Grudziadz Lisie Kąty EPGI ","w, app, s","256","Yes","No","Yes","2 km","122.80MHz","Avgas","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20190929T215959Z;WKST=MO","Yes","+48 601 581 111","No","grass","No","For two 15m gliders or one 20m glider in most cases"
"49.5914, 8.13817","Gruenstadt-Quirnheimer Berg","w, app, s","209","In most cases yes","No","Yes","> 3 km","122.30MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=1000;WKST=MO","No","0163-2588290","No","grass","No","No"
"55.8851, 12.2276","Gørløse EKGL","w, app, s","828","In most cases yes","No","Yes","> 3 km","122.65MHz","Avgas, Avgas-Mogas-Mix","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,SA,SU;UNTIL=20151016T215959Z;WKST=MO","Yes","0045 4827 8500","No","grass","No","No"
"47.4589, 21.3956","Hajduszoboszlo - LHHO","w, a499, s","77","Yes","No","Yes","1 km","124.20MHz","","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20130929T215959Z;WKST=MO","No","+36203863612","No","grass","No","No"
"51.5522, 12.0539","Halle Oppin EDAQ","w, s","35","Yes","No","Yes","> 3 km","135.15MHz","Avgas, Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131031T225959Z;WKST=MO","Yes","0160 95437132","No","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"55.9067, 9.45361","Hammer EKHM","w, amg, s","233","In most cases yes","No","Yes","> 3 km","122.48MHz","Super Plus (Mogas), Two stroke engine oil","Yes","RRULE:FREQ=DAILY;INTERVAL=9;UNTIL=20130728T215959Z;WKST=MO
RDATE:20130727T220000Z","Yes","+4527231539","No","grass","Yes","Can be arranged, if requested in advance"
"48.9436, 8.82556","Hangensteiner Hof","w, app","21","No","No","Yes","3 km","123.15MHz","Super Plus (Mogas)","No","","Yes","00490171234567","No","grass","Yes","For one 15m glider in most cases"
"47.2385, 8.5156","Hausen am Albis","app, s","91","No","No","Yes","2 km","123.75MHz","Avgas, Avgas-Mogas-Mix","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20131006T215959Z;WKST=MO","Yes","+41788459398","Yes","concrete / asphalt","No","No"
"56.1911, 9.04278","Herning EKHG","w, amg, s","704","Yes","Yes","Yes","2 km","121.00MHz","Avgas, JetA1, Two stroke engine oil","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151031T225959Z;WKST=MO
RDATE:20150513T220000Z,20150524T220000Z,20150712T220000Z,20150713T220000Z,20150714T220000Z,20150715T220000Z,20150716T220000Z,20150717T220000Z","Yes","+0045 27634586","No","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"52.1915, 5.14667","Hilversum","w, app, s","823","No","No","No","1 km","122.48MHz","Avgas, Super Plus (Mogas), JetA1","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20190706T215959Z;WKST=MO","No","0031 35 577 1353","No","grass","No","For one 15m glider in most cases"
"47.7611, 8.76861","Hilzingen SFG Singen","w, amg, s","722","In most cases yes","Yes","Yes","1 km","123.38MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=25;WKST=MO","Yes","01714125452","No","grass","Yes","Can be arranged, if requested in advance"
"50.6572, 15.0778","Hodkovice LKHD","w, a499, app, s","88","Yes","No","Yes","2 km","120.90MHz","Avgas, Super Plus (Mogas)","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20131201T225959Z;WKST=MO","Yes","00420604257553","No","grass","Yes","For more or larger gliders than mentioned above in most cases"
"50.5015, 9.222","Hoherodskopf","w, s","238","In most cases yes","No","Yes","> 3 km","123.15MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20150916T215959Z;WKST=MO","No","+49-172-5155111","No","grass","No","For one 15m glider in most cases"
"48.8108, 17.1347","Holíč","w, app, s","673","In most cases yes","Yes","Yes","1 km","122.60MHz","Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141130T225959Z;WKST=MO","Yes","00421902471989","No","grass","No","For one 15m glider in most cases"
"53.1486, 9.79722","Hoepen Schneverdingen","w, amg, s","66","In most cases yes","No","Yes","1 km","122.48MHz","Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131031T225959Z;WKST=MO","Yes","+ 49 172 3584319","No","grass","No","Can be arranged, if requested in advance"
"53.1486, 9.79722","Hoepen Schneverdingen","w, amg, app, s","130","In most cases yes","No","Yes","1 km","122.48MHz","Super unleaded","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20130824T215959Z;WKST=MO","Yes","+ 49 172 3584319","No","grass","No","Can be arranged, if requested in advance"
"49.0388, 14.4944","Hosin","a499, s","788","Yes","No","Yes","2 km","130.20MHz","Avgas, Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20190929T215959Z;WKST=MO","Yes","00420 702292735","No","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"50.9367, 7.90972","Huensborn EDKH","w, app, s","231","In most cases yes","Yes","Yes","1 km","130.13MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;COUNT=16;WKST=MO","No","0049 (0)151 42529100","No","grass","No","For one 15m glider in most cases"
"47.6336, 7.94139","Huetten / Hotzenwald","w, app","80","No","No","Yes","3 km","130.13MHz","Avgas, Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20190930T215959Z;WKST=MO","Yes","+41 (0)7765 464","No","grass","No","Can be arranged, if requested in advance"
"60.6544, 24.8811","Hyvinkaeae EFHV","w, app, s","637","Yes","No","Yes","1 km","122.50MHz","Avgas","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141030T225959Z;WKST=MO
EXDATE:20140613T220000Z","Yes","+358505249235","No","concrete / asphalt","Yes","Can be arranged, if requested in advance"
"49.7321, 7.33746","Idar-Oberstein","w, app, s","832","In most cases yes","No","Yes","3 km","122.85MHz","Avgas, Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=TU,WE,TH,FR,SA,SU;UNTIL=20161018T215959Z;WKST=MO","No","004917682585616","No","grass","Yes","For one 15m glider in most cases"
"41.5856, 1.65306","Igualada LEIG","app, s","624","No","No","No","> 3 km","122.60MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=2100;WKST=MO","Yes","938031276","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"47.2603, 11.3439","Innsbruck LOWI","w, amg, app, s","78","No","No","No","1 km","123.40MHz","Avgas","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20151026T225959Z;WKST=MO","Yes","+436504000796","Yes","grass, concrete / asphalt","No","For one 15m glider in most cases"
"51.4372, 7.70056","Iserlohn-Suemmern","w, app, s","216","In most cases yes","No","Yes","2 km","122.43MHz","Avgas, Super unleaded, Two stroke engine oil","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=50;WKST=MO
RDATE:20150628T220000Z,20150629T220000Z,20150630T220000Z,20150701T220000Z,20150702T220000Z,20150705T220000Z,20150706T220000Z,20150707T220000Z,20150708T220000Z,20150709T220000Z","Yes","0162 4231693","No","grass","Yes","For two 15m gliders or one 20m glider in most cases"
"50.8988, 15.7849","Jelenia Gora","w, app","243","In most cases yes","No","Yes","1 km","122.90MHz","Avgas","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;COUNT=1;WKST=MO","Yes","0048512215612","Yes","grass","No","Can be arranged, if requested in advance"
"50.916, 11.7144","Jena-Schoengleina","w, amg, app","798","In most cases yes","No","Yes","> 3 km","122.05MHz","Avgas, Super Plus (Mogas), JetA1","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20191027T225959Z;WKST=MO","Yes","+49(0)1723543436","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"51.3061, 14.1347","Kamenz EDCM","w, a499, app, s","49","In most cases yes","No","Yes","1 km","122.05MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151004T215959Z;WKST=MO
RDATE:20150726T220000Z,20150727T220000Z,20150728T220000Z,20150729T220000Z,20150730T220000Z","Yes","0049 172 9763167","No","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"53.1958, 12.1647","Kammermark","w","205","Yes","No","Yes","2 km","123.50MHz","","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150807T215959Z;WKST=MO","No","00493031424995","No","grass","No","Can be arranged, if requested in advance"
"47.0792, 22.1003","Kings Land Ineu","app, s","754","Yes","No","Yes","1 km","120.20MHz","Avgas, Super Plus (Mogas), Super unleaded","No","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;COUNT=365;WKST=MO","Yes","+49 162 4937 620","No","grass","No","Can be arranged, if requested in advance"
"47.9511, 7.95556","Kirchzarten","w","140","In most cases yes","No","Yes","2 km","122.48MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131006T215959Z;WKST=MO","No","004917634931757","No","grass","Yes","Can be arranged, if requested in advance"
"48.1122, 8.76833","Klippeneck","w, app, s","705","In most cases yes","No","Yes","> 3 km","122.18MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20191027T225959Z;WKST=MO
EXDATE:20140801T220000Z,20140802T220000Z,20140808T220000Z
RDATE:20140608T220000Z,20140618T220000Z","Yes","+49(0)160/96269898 oder +49(0)160/91823456","No","grass","No","Can be arranged, if requested in advance"
"51.2739, 14.5069","Klix EDCI Summercamps","w, app, s","820","In most cases yes","No","Yes","2 km","118.60MHz","","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150823T215959Z;WKST=MO","Yes","00491772865916","No","grass","No","For two 15m gliders or one 20m glider in most cases"
"51.2739, 14.5069","Klix EDCI Weekends","w, app, s","40","In most cases yes","No","Yes","2 km","118.60MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20191027T225959Z;WKST=MO","Yes","00491772865916","No","grass","No","For two 15m gliders or one 20m glider in most cases"
"47.8286, 11.465","Koenigsdorf","w, amg, app","71","No","Yes","Yes","2 km","118.28MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=FR,SA,SU;UNTIL=20131027T225959Z;WKST=MO","Yes","00491635670229","Yes","grass, concrete / asphalt","Yes","For one 15m glider in most cases"
"47.5642, 12.1275","Kufstein-Langkampfen","amg, app, s","206","No","Yes","Yes","2 km","122.38MHz","Avgas, Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131201T225959Z;WKST=MO","Yes","+43 5372 63 833","No","grass","No","No"
"52.9178, 12.4248","Kyritz","a499, a699","782","In most cases yes","Yes","Yes","2 km","122.72MHz","Avgas, Avgas-Mogas-Mix, Super Plus (Mogas), Super unleaded, JetA1, Two stroke engine oil","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20190929T215959Z;WKST=MO","No","015233792076","No","grass","Yes","For more or larger gliders than mentioned above in most cases"
"","Kyritz EDBK","a499, s","181","In most cases yes","Yes","Yes","2 km","122.73MHz","Avgas, Super unleaded, JetA1, Two stroke engine oil","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;COUNT=90;WKST=MO","No","0152-33792076","No","grass, concrete / asphalt","Yes","For more or larger gliders than mentioned above in most cases"
"49.33, 8.76667","Lachen-Speyerdorf","w, app, amg","127","In most cases yes","No","Yes","at the airport","118.18MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151101T225959Z;WKST=MO","Yes","004917621521122","No","grass","No","Can be arranged, if requested in advance"
"51.1458, 6.98667","Langenfeld Wiescheid  LSG Erbsoeh","w, amg, app, s","737","No","No","Yes","at the airport","122.48MHz","Avgas","Yes","","Yes","015228896261","No","grass","Yes","For one 15m glider in most cases"
"50.1761, 9.06111","Langenselbold","w, a499, amg, s","219","No","No","Yes","2 km","129.98MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151031T225959Z;WKST=MO","Yes","0049-172-6653730","No","grass","Yes","For one 15m glider in most cases"
"50.9333, 13.25","Langhennersdorf EDOH","w, app, s","43","In most cases yes","No","Yes","3 km","122.30MHz","","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151031T225959Z;WKST=MO","No","+49 1736812886","No","grass","Yes","Can be arranged, if requested in advance"
"50.9333, 13.25","Langhennersdorf EDOH","w, app, s","200","In most cases yes","No","Yes","3 km","122.30MHz","","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20150823T215959Z;WKST=MO","No","+49 1736812886","No","grass","Yes","Can be arranged, if requested in advance"
"52.4292, 5.67417","Larserveld","w, app","758","No","No","Yes","> 3 km","130.12MHz","","No","","Yes","0031-620393376","No","grass","No","Can be arranged, if requested in advance"
"50.0083, 22.9183","Laszki EPJL","w, s","195","No","No","Yes","2 km","122.60MHz","","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20191231T225959Z;WKST=MO","Yes","+48793744784","No","grass","Yes","Can be arranged, if requested in advance"
"51.2458, 11.6933","Laucha","w, amg, s","132","Yes","No","Yes","3 km","122.48MHz","Super Plus (Mogas), Super unleaded","No","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20131030T225959Z;WKST=MO","Yes","0151 1540 8842","No","grass","No","Can be arranged, if requested in advance"
"52.4677, 6.3334","Lemelerveld","w","44","In most cases yes","No","Yes","> 3 km","122.50MHz","","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20130930T215959Z;WKST=MO","Yes","+31 572 371 543","No","grass","No","No"
"47.3791, 14.9654","Leoben-Timmersdorf LOGT","app, s","690","In most cases yes","No","Yes","at the airport","122.30MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140901T215959Z;WKST=MO","Yes","+43 664 7503 1290","No","grass","Yes","Can be arranged, if requested in advance"
